rank,company_name,company_url,company_source,job_count,fit_band,score,title,job_url,date_updated,hours_per_week,salary,estimated_monthly_usd,skill_requirement,positives,concerns,summary
25,Covrix,https://covrix.com,inferred_from_domain,1,Excellent,58,operations - coordinator,https://www.onlinejobs.ph/jobseekers/job/operations-coordinator-1677879,"Jun 27, 2026",40,750,750.0,,"Websites, landing pages, dashboards: dashboard, dashboards | Funnels, CRM, automations: zapier, automation, workflow, api | Early-career friendly language: assistant, va, virtual assistant, coachable, sop | Strong budget fit: listed around $750/month","May be too senior: manager, lead","Virtual Assistant / Success Manager StoicForge | Multi-Brand Ecommerce We Need Someone Who Keeps the Machine Running We're StoicForge - a growing ecommerce company running multiple brands in health, beauty, and personal care. We have the products, the..."
26,"Southcorp Group, Inc",,exposed_company_or_brand,1,Excellent,58,Marketing Operations & Systems Manager (Salesforce / Left Main),https://www.onlinejobs.ph/jobseekers/job/Marketing-Operations-Systems-Manager-Salesforce-Left-Main-1675778,"Jun 24, 2026",40,$8-$11/ hour,11.0,,"Websites, landing pages, dashboards: dashboard, dashboards | Funnels, CRM, automations: zapier, automation, workflow, crm, api | Sales, outbound, lead lists: lead generation, lead gen | Early-career friendly language: assistant, va, virtual assistant | Budget fit: listed around $11/month","May be too senior: manager, lead, advanced","About the Role We are a U.S.-based real estate investment company seeking a Marketing Operations & Systems Manager to oversee the technology, marketing systems, lead flow, reporting, and CRM infrastructure that drives our acquisitions business. This role owns..."
27,Us Kwackers Kitchen & Sports Bar,,inferred_from_description,1,Excellent,58,Content creator/editor Social Media Growth Manager,https://www.onlinejobs.ph/jobseekers/job/Content-creatoreditor-Social-Media-Growth-Manager-1678036,"Jun 28, 2026",40,7,7.0,Social Media Content Creation Social Media Management Social Media Video Editing,"Modern AI/tooling: chatgpt, ai tools, capcut, canva | Websites, landing pages, dashboards: website, dashboard, dashboards, react | Funnels, CRM, automations: ghl | Sales, outbound, lead lists: lead generation, lead gen | Early-career friendly language: va | Budget fit: listed around $7/month","May be too senior: manager, lead",Full-Time | Remote | Philippines | UK Hours Salary: Competitive (Based on Experience) Hours: 40 hours per week Location: Remote (Philippines) Working Hours: UK Time (Flexibility required for major sporting events and campaigns) About Us Kwackers Kitchen &...
28,US Meander Digital,,inferred_from_description,1,Excellent,58,"Digital Marketing Generalist For Marketing Agency in Singapore (SGD800 - 1,200)",https://www.onlinejobs.ph/jobseekers/job/Digital-Marketing-Generalist-For-Marketing-Agency-in-Singapore-SGD800-1200-1677983,"Jun 28, 2026",40,SGD800 - 1200,1200.0,Copywriting Social Media Content Creation Digital Marketing,"Modern AI/tooling: ai tools, capcut, canva | Websites, landing pages, dashboards: website, landing page, landing pages | Funnels, CRM, automations: workflow | Sales, outbound, lead lists: lead generation, lead gen, linkedin | Early-career friendly language: assistant, va, sop, sops | Near budget: listed around $1,200/month","May be too senior: lead, expert","Content, Creative & Operations Support — for a Growing Singapore-based Digital Agency In plain terms: a hands-on, do-a-bit-of-everything marketer — copywriting-led, with design, video, and light ops support — who helps a lean agency run and grow. Full-Time •..."
29,Brandm3Dia,https://brandm3dia.com,inferred_from_domain,2,Excellent,57,Virtual Executive Assistant to the CEO,https://www.onlinejobs.ph/jobseekers/job/Virtual-Executive-Assistant-to-the-CEO-1668948,"Jun 30, 2026",40,"35,000-45,000",775.86,,"Modern AI/tooling: claude, chatgpt, ai tools | Websites, landing pages, dashboards: website | Funnels, CRM, automations: ghl, automation, workflow, api | Sales, outbound, lead lists: linkedin | Early-career friendly language: assistant, va | Strong budget fit: listed around $776/month","May be too senior: senior, lead","Virtual Executive Assistant to the CEO Part-Time and Full-Time Opportunities Available About the Role Brand M3dia is seeking a highly organized, proactive, and tech-savvy Virtual Executive Assistant to support our CEO in managing day-to-day operations..."
30,Yobbr,https://yobbr.com,inferred_from_domain,1,Excellent,57,"Experienced Sales, Marketing & Customer Support Virtual Assistant | Experience Required",https://www.onlinejobs.ph/jobseekers/job/Experienced-Sales-Marketing-Customer-Support-Virtual-Assistant-Experience-Required-1680315,"Jul 1, 2026",40,"Peso 25,000/month",431.03,Customer Support Lead Generation Sales,"Funnels, CRM, automations: gohighlevel, ghl, crm, sms, api | Sales, outbound, lead lists: lead generation, lead gen, outbound | Early-career friendly language: entry-level, assistant, va, virtual assistant | Budget fit: listed around $431/month",May be too senior: lead,"We are hiring an Experienced Sales, Marketing & Customer Support Virtual Assistant. Please apply only if you have previous experience in sales, customer support, lead follow-up, customer communication, and working with US-based clients. This is not an..."
31,ZT (Tutoring Company),,exposed_company_or_brand,2,Excellent,57,Associate Administrative Assistant | Remote Position,https://www.onlinejobs.ph/jobseekers/job/Associate-Administrative-Assistant-Remote-Position-1677373,"Jun 26, 2026",40,$7/Hour,1212.4,Customer Service Executive Assistance AI Automation,"Modern AI/tooling: claude, chatgpt, ai tools, ai automation | Funnels, CRM, automations: gohighlevel, ghl, automation, crm | Early-career friendly language: assistant, va, coachable | Near budget: listed around $1,212/month",,"We are hiring an assistant with proven experience and a strong background in wearing multiple hats. However, please note that this is not your usual VA role. We need someone who thinks beyond assigned tasks, takes initiative, and actively contributes to..."
32,GES Inc,,exposed_company_or_brand,1,Excellent,56,Lead Acquisition & Management Specialist,https://www.onlinejobs.ph/jobseekers/job/Lead-Acquisition-Management-Specialist-1669120,"Jul 1, 2026",50,$1000 monthly,1000.0,CRM Lead Generation English Speaking,"Funnels, CRM, automations: gohighlevel, ghl, automation, workflow, crm | Sales, outbound, lead lists: lead generation, lead gen, outbound, appointment setting | Early-career friendly language: va | Strong budget fit: listed around $1,000/month",May be too senior: lead,"Now hiring Lead acquisition & management specialist Los Angeles, CA — Remote (PST hours required) · Full-time Compensation $1,000/mo Hours 8 AM – 5 PM PST Schedule Mon – Fri Timezone Pacific (PST) About the role We are a Los Angeles–based company looking for..."
33,Gostaffify,https://gostaffify.com,inferred_from_domain,1,Excellent,56,Sales Virtual Assistant (Phone Calls & Lead Follow-Up),https://www.onlinejobs.ph/jobseekers/job/Sales-Virtual-Assistant-Phone-Calls-Lead-Follow-Up-1678610,"Jun 29, 2026",40,$960,960.0,Sales Management Cold Calling Sales,"Funnels, CRM, automations: gohighlevel, ghl, crm, hubspot | Sales, outbound, lead lists: outbound, cold calling, appointment setting | Early-career friendly language: assistant, va, virtual assistant | Strong budget fit: listed around $960/month",May be too senior: lead,"Location: Remote Job Type: Full-Time / Part-Time Salary: Competitive, based on experience About the Role We are looking for a confident and results-driven Sales Virtual Assistant to join our team. The ideal candidate is comfortable making outbound phone..."
34,Leverage Agent LLC,,exposed_company_or_brand,2,Excellent,56,Recruiting Specialist,https://www.onlinejobs.ph/jobseekers/job/Recruiting-Specialist-1668943,"Jun 25, 2026",40,$6 to $7/ hour,7.0,,"Websites, landing pages, dashboards: dashboard, dashboards | Funnels, CRM, automations: ghl, funnel, crm | Sales, outbound, lead lists: lead generation, lead gen, prospecting, outbound, linkedin | Early-career friendly language: va, coachable | Budget fit: listed around $7/month",May be too senior: lead | Specialized/non-Arca fit: compliance,"Oz Group | eXp Realty Help Build One of the Fastest-Growing Real Estate Teams in New Jersey Oz Group is on a mission to redefine agent growth and success in real estate. Led by Joe Oz, a member of Zillow's Agent Advisory Board, Oz Group is one of New Jersey's..."
35,Quiresoft Technologies Inc,,inferred_from_description,1,Excellent,56,Full-Time Growth & Marketing Specialist,https://www.onlinejobs.ph/jobseekers/job/Full-Time-Growth-Marketing-Specialist-1677959,"Jun 30, 2026",40,$600-$900 CAD/Month,900.0,Email Marketing Cold Calling Digital Marketing,"Websites, landing pages, dashboards: web design | Funnels, CRM, automations: gohighlevel, ghl, automation, workflow, crm | Sales, outbound, lead lists: lead generation, lead gen, outbound, cold calling | Early-career friendly language: va | Strong budget fit: listed around $900/month","May be too senior: lead, 5+ years","Job Title: Full-Time Growth & Marketing Specialist Company: Quiresoft Technologies Inc. Location: Remote (Philippines-based), working full-time on PST (Pacific Standard Time) hours Type: Full-time, long-term, exclusive (no other clients or side engagements)..."
36,Whoo Marketing,,exposed_company_or_brand,1,Excellent,56,Full-Time Graphic Designer (Tech & AI Savvy),https://www.onlinejobs.ph/jobseekers/job/Full-Time-Graphic-Designer-Tech-AI-Savvy-1676535,"Jun 25, 2026",40,$400,400.0,Graphic Design Packaging & Brand Idenity Design,"Modern AI/tooling: canva | Websites, landing pages, dashboards: website, web design, wordpress | Funnels, CRM, automations: ghl, workflow | Early-career friendly language: va | Budget fit: listed around $400/month",,JOB TITLE: Full-Time Graphic Designer SHIFT: 8:20 AM EST – 4:20 PM EST (Monday–Friday) Note: The 8:20 AM EST clock-in time is strict and essential for this role. HOURS: 40 Hours per Week SALARY: $400 USD per Month ABOUT THE ROLE: We are a US-based digital...
37,Acadium,https://acadium.com,inferred_from_domain,8,Excellent,55,Lead Generation Specialist (100% WFH),https://www.onlinejobs.ph/jobseekers/job/Lead-Generation-Specialist-100-WFH-1599985,"Jun 30, 2026",40,$600/month + commission,600.0,LinkedIn Marketing Sales Digital Marketing,"Funnels, CRM, automations: crm, hubspot | Sales, outbound, lead lists: lead generation, lead gen, prospecting, sales development, linkedin | Early-career friendly language: entry-level, va | Budget fit: listed around $600/month",May be too senior: lead,"We’re looking for a motivated and results-driven Lead Generation Specialist to help grow our sales pipeline and expand our customer base. As a BDR, you’ll be on the front lines of our sales efforts, identifying potential clients, generating leads, and..."
38,"Beyond Brighter Minds, Inc",,exposed_company_or_brand,1,Excellent,55,Recruitment Marketing & Talent Acquisition Specialist (Healthcare Recruitment),https://www.onlinejobs.ph/jobseekers/job/Recruitment-Marketing-Talent-Acquisition-Specialist-Healthcare-Recruitment-1679334,"Jun 30, 2026",40,$8/hour-$10/hour,1732.0,Facebook Ads US recruiting Lead Generation,"Modern AI/tooling: chatgpt, ai tools, capcut, canva | Websites, landing pages, dashboards: landing page, landing pages, dashboard, dashboards | Funnels, CRM, automations: ghl, funnel, funnels, crm, api | Sales, outbound, lead lists: lead generation, lead gen | Early-career friendly language: va","Above Arca budget: listed around $1,732/month | May be too senior: manager, lead",Employment Type: Full-time (40 hours/ week from 9 am to 5 pm M-F Pacific Standard Time Initial Engagement: 90-day performance-based contract with the opportunity to transition into a permanent full-time position based on results. Bonuses are available for...
39,Apps,https://apps.apple.com,inferred_from_domain,1,Strong,54,AI Video Creator / Prompt Engineer / Video Editor – 1-Week Full-Time Project,https://www.onlinejobs.ph/jobseekers/job/AI-Video-Creator-Prompt-Engineer-Video-Editor-1-Week-Full-Time-Project-1678202,"Jun 28, 2026",40,100 usd,100.0,Prompt Engineering AI Video Generation AI Video Creation,"Modern AI/tooling: chatgpt, ai tools, veo, runway, elevenlabs | Funnels, CRM, automations: ghl | Early-career friendly language: va | Budget fit: listed around $100/month",,"We are looking for a highly skilled AI Video Creator who can help us create a large number of short-form videos for our travel app. This is a 1-week full-time project, starting ASAP. Salary: USD 100 for 1 week of full-time work. About Us We are InfoAlanya, a..."
40,Testedrecruits,https://testedrecruits.com,inferred_from_domain,4,Strong,54,Remote Front End Developer,https://www.onlinejobs.ph/jobseekers/job/Remote-Front-End-Developer-1665784,"Jun 29, 2026",40,$$$,,SCSS HTML PSD to HTML,"Modern AI/tooling: cursor, ai tools | Websites, landing pages, dashboards: website, frontend, wordpress, shopify, html | Funnels, CRM, automations: ghl, workflow, api | Early-career friendly language: va, templates | Budget likely reviewable: salary unclear",May be too senior: expert,"You must apply via the link to be considered for the role: app.testedrecruits.com/posting/16636 WHY YOU SHOULD APPLY: Coalition Technologies is devoted to delivering clients the highest quality work while providing our team a fun, thriving, and innovative..."
41,"Virtual Luxe Solutions, LLC",,exposed_company_or_brand,1,Strong,54,Full-Time Real Estate Marketing & Operations Virtual Assistant,https://www.onlinejobs.ph/jobseekers/job/Full-Time-Real-Estate-Marketing-Operations-Virtual-Assistant-1592068,"Jun 25, 2026",40,960,960.0,Real Estate Marketing Operation Management Executive Assistance,"Modern AI/tooling: canva | Websites, landing pages, dashboards: website | Funnels, CRM, automations: ghl, workflow, crm | Early-career friendly language: assistant, va, virtual assistant, sop, sops | Strong budget fit: listed around $960/month",May be too senior: lead,"Virtual Luxe Solutions is seeking a highly organized, proactive Real Estate Marketing & Operations Virtual Assistant to support a growing realtor in FL. This is a full-time, long-term opportunity for someone who thrives in real estate, loves structure, and..."
42,123Test,https://123test.com,inferred_from_domain,2,Strong,53,Real Estate - Virtual Assistant,https://www.onlinejobs.ph/jobseekers/job/Real-Estate-Virtual-Assistant-1678646,"Jun 29, 2026",40,$400-$900 / Month,900.0,Email Marketing Real Estate Marketing Local SEO,"Modern AI/tooling: claude, chatgpt, ai tools, canva | Funnels, CRM, automations: crm | Early-career friendly language: assistant, va, virtual assistant, templates | Strong budget fit: listed around $900/month",,"I run a real estate brokerage in San Antonio, TX helping military families relocate. Air Force veteran — I move fast and run tight systems. I need a sharp, creative operator who can run my systems, use AI to do the heavy lifting, and deliver marketing that..."
43,A boutique luxury fine-art photography studio in New York City,,inferred_from_description,2,Strong,53,"Business Operations Manager — AI-Augmented Studio (Full-Time, Remote)",https://www.onlinejobs.ph/jobseekers/job/Business-Operations-Manager-AI-Augmented-Studio-Full-Time-Remote-1676754,"Jun 25, 2026",40,$10 or more based on skills,10.0,,"Modern AI/tooling: claude, chatgpt, ai tools, ai automation | Websites, landing pages, dashboards: webflow | Funnels, CRM, automations: automation, workflow, crm | Early-career friendly language: va | Budget fit: listed around $10/month","May be too senior: manager, lead",APPLY : docs.google.com/forms/d/e/1FAIpQLSfaJ5r-r9_3NSiesN0eT8j-HR0_3oIAwQ8AqqMpo5niIMS1Qw/viewform?usp=sharing&ouid=112704830944857851752 Project Management · Asana · Operations Management · Team Management · AI Tools · Prompt Writing · Task Delegation ·...
44,JESSE,,exposed_company_or_brand,2,Strong,53,Virtual Assistant (VA) for Customer Response/Lead Generation,https://www.onlinejobs.ph/jobseekers/job/Virtual-Assistant-VA-for-Customer-ResponseLead-Generation-1173851,"Jun 26, 2026",48,$300-1000/month + commission,1000.0,Social Media Management Lead Generation Customer Service,"Funnels, CRM, automations: crm | Sales, outbound, lead lists: lead generation, lead gen, prospecting, linkedin | Early-career friendly language: assistant, va, virtual assistant | Strong budget fit: listed around $1,000/month",May be too senior: lead,"Key Responsibilities: 1. Market Expansion and Customer Maintenance Proactively search for potential customers through trade platforms, search engines, and other channels, and send out prospecting emails Regularly update content on social media platforms like..."
45,TBD,https://apollo.io,exposed_company_or_brand,1,Strong,53,"Growth Marketing Lead — Outbound, Paid Ads & GTM",https://www.onlinejobs.ph/jobseekers/job/Growth-Marketing-Lead-Outbound-Paid-Ads-GTM-1678875,"Jun 29, 2026",45,"$1,500+/month (fixed + variable)",1500.0,Copywriting Lead Generation Digital Marketing,"Modern AI/tooling: claude | Websites, landing pages, dashboards: landing page, landing pages, webflow | Funnels, CRM, automations: automation, workflow, crm, hubspot, email sequence | Sales, outbound, lead lists: lead generation, lead gen, outbound, cold email, linkedin | Early-career friendly language: va","Above Arca budget: listed around $1,500/month | May be too senior: manager, lead, expert","GROWTH MARKETING LEAD — OUTBOUND, PAID ADS & GTM Full-time | Remote | Base + Variable | PST hours + weekends as needed ABOUT THIS ROLE You will join our outbound and paid acquisition team— finding the right people, reaching them fast, and converting attention..."
46,TIA The Investors Agency,https://theinvestorsagency.com.au,inferred_from_description,1,Strong,53,Content & Social Media Marketer,https://www.onlinejobs.ph/jobseekers/job/Content-Social-Media-Marketer-1679911,"Jul 1, 2026",TBD,?60000,1034.48,Content Creation Social Media Management Digital Marketing,"Modern AI/tooling: claude, lovable, chatgpt, capcut, canva | Websites, landing pages, dashboards: website, landing page, landing pages, react | Funnels, CRM, automations: gohighlevel, ghl, funnel, automation, workflow | Sales, outbound, lead lists: linkedin | Early-career friendly language: va | Near budget: listed around $1,034/month","May be too senior: senior, manager, lead, head of | Specialized/non-Arca fit: compliance","About TIA The Investors Agency is a buyers agency that helps everyday Australians build wealth through strategic property investment. We've helped hundreds of clients secure investment properties across the country, and our marketing reaches tens of thousands..."
47,Aurify,https://aurify.com,inferred_from_domain,1,Strong,52,AI Prompt Engineer — Creative & Product,https://www.onlinejobs.ph/jobseekers/job/AI-Prompt-Engineer-Creative-Product-1679156,"Jun 30, 2026",40,$5-7,7.0,Influencer Content Creation Ads Creation AI Video Creation,"Modern AI/tooling: ai tools, higgsfield, elevenlabs | Funnels, CRM, automations: workflow, api | Early-career friendly language: va, templates | Budget fit: listed around $7/month",,"About the Role Aurify is looking for a Creative AI Prompt Engineer to join our product team. You'll build and refine prompts and workflows across generative AI tools (Higgsfield, ElevenLabs, image/video/voice models, and more) to produce content with real..."
48,Bodhitree Property Group,https://bodhitreegroup.com.au,inferred_from_description,1,Strong,52,Virtual Marketing & Sales Representative,https://www.onlinejobs.ph/jobseekers/job/Virtual-Marketing-Sales-Representative-1680053,"Jul 1, 2026",45,Aus $1000,1000.0,Email Marketing English Sales,"Funnels, CRM, automations: gohighlevel, ghl, crm, hubspot, api | Sales, outbound, lead lists: outbound, cold calling, linkedin | Early-career friendly language: va | Strong budget fit: listed around $1,000/month",May be too senior: lead,"# Virtual Marketing & Sales Representative (Property Management) Location:Remote (Work from Home) Company: Bodhitree Property Group (Australia) Our goal is to help you earn AUD $1,500–$2,000+ per month—and even more as you grow with us.** * **Base Salary:**..."
49,Jason - Makarios Marketing,,exposed_company_or_brand,1,Strong,52,Graphic Designer & SEO-Minded Web Builder (Full-Time),https://www.onlinejobs.ph/jobseekers/job/Graphic-Designer-SEO-Minded-Web-Builder-Full-Time-1677263,"Jun 26, 2026",40,1000,1000.0,Graphic Design Packaging & Brand Idenity Design Web Design & Page Layout,"Modern AI/tooling: claude | Websites, landing pages, dashboards: website, web design, wordpress, shopify, wix | Funnels, CRM, automations: workflow | Early-career friendly language: va | Strong budget fit: listed around $1,000/month","May be too senior: lead, expert","Makarios Marketing — Remote About the Role Makarios Marketing is an SEO agency serving local service businesses and ecommerce brands across the US. We're hiring a full-time Graphic Designer who can build beautiful, conversion-focused websites and brand assets..."
50,Keys 2 Freedom,,exposed_company_or_brand,1,Strong,52,"Experienced Social Media Manager & Community Manager — Car Rental / Automotive Niche (Full-Time, Long-Term)",https://www.onlinejobs.ph/jobseekers/job/Experienced-Social-Media-Manager-Community-Manager-Car-Rental-Automotive-Niche-Full-Time-Long-Term-1667197,"Jun 29, 2026",40,$480 - $640 Month,640.0,Content Creation Social Media Management Community Moderation,"Modern AI/tooling: claude, chatgpt, ai tools, capcut, canva | Funnels, CRM, automations: gohighlevel, ghl, funnel, funnels, automation | Sales, outbound, lead lists: lead generation, lead gen | Early-career friendly language: va, templates | Budget fit: listed around $640/month","May be too senior: manager, lead, head of, advanced","ABOUT US: We run a fast-growing economy car rental business in Dallas, TX that rents vehicles to rideshare and gig economy workers (Uber, Lyft, Amazon Flex, medical couriers). We also run a coaching/education brand teaching others how to build the same..."
